,article_title,url,country,B,C,FA,GA,Start,Stub,revision_id,article_quality,region,population,high_quality
0,Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,0.11458586462110412,0.25181268514718363,0.0063723793696558026,0.017663717882219595,0.5480559478600824,0.06150940511975441,1233202991,C,SOUTH ASIA,42.4,False
1,Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,0.41680778937422464,0.3779375158384741,0.057958708381212594,0.08901185936511881,0.052924970659449413,0.0053591563815205195,1230459615,B,SOUTH ASIA,42.4,False
2,Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,0.08264544075173864,0.24719366993007003,0.005547955298544277,0.01846902724299784,0.5943743472670723,0.051769559509576894,1225661708,C,SOUTH ASIA,42.4,False
3,Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,0.019055570567143052,0.03499734173122975,0.0033518817419444583,0.009019049431622522,0.26490645870105983,0.6686696978270004,1234741562,C,SOUTH ASIA,42.4,False
4,Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,0.046898670086693024,0.09885183805964119,0.004757236548935257,0.01936950852024382,0.7127852257201062,0.11733752106438053,1195651393,C,SOUTH ASIA,42.4,False
5,Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,0.05357764010649692,0.1420153651045843,0.004558064005040723,0.017818853559952434,0.7365463681382165,0.04548370908570939,1235521766,C,SOUTH ASIA,42.4,False
6,Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,0.05969736138756703,0.2801786333722122,0.005372499634457074,0.014079495276362871,0.606822408319826,0.033849602009574785,1176429234,C,SOUTH ASIA,42.4,False
7,Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,0.11712234677610352,0.10468200241104776,0.004903087914312564,0.023576322889329107,0.5188747103458122,0.23084152966339477,1247931713,B,SOUTH ASIA,42.4,False
8,Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,0.18950555123978,0.3617041794389802,0.006269114209954354,0.03578619603089451,0.3983166033968489,0.008418355683542135,1225385278,C,SOUTH ASIA,42.4,False
9,Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,0.08976536690026111,0.18855268735911812,0.005967724991415193,0.05425702404770877,0.3726201578534696,0.2888370388480272,1226326055,C,SOUTH ASIA,42.4,False
10,Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,0.05111480602102679,0.27145351208853913,0.004898188347239519,0.009760251777283763,0.645610242089401,0.017162999676509968,1244521219,C,SOUTH ASIA,42.4,False
11,Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,0.007563164541978763,0.010571998067933668,0.0014567448768872152,0.00350824677167893,0.04243220742433865,0.9344676383171826,1231655023,C,SOUTH ASIA,42.4,False
12,Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,0.026097463495398456,0.06395495779672837,0.0038103163866939622,0.006977130029123255,0.5418649331284021,0.3572951991636538,1237694188,C,SOUTH ASIA,42.4,False
13,Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,0.011971573882645352,0.017830810654143492,0.002259436689699652,0.005008328990371189,0.1899384977070338,0.7729913520761065,1227635806,C,SOUTH ASIA,42.4,False
14,Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,0.04946376485914431,0.15089843568444086,0.0056319196303305195,0.014480093217784418,0.3958609695528258,0.383664817055474,1248505877,C,SOUTH ASIA,42.4,False
15,Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,0.023538875175661035,0.06787948962884278,0.003581386345407384,0.009087672912385032,0.2664332410515734,0.6294793348861304,1197443408,C,SOUTH ASIA,42.4,False
16,Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,0.01162728227959476,0.014200761899341215,0.0022336092640623806,0.004364005565756696,0.1814261115457742,0.7861482294454706,1134129082,C,SOUTH ASIA,42.4,False
17,Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,0.09360605905820937,0.25258667647085,0.004622201016928274,0.011331670959401302,0.6212830930955475,0.01657029939906358,1193992206,C,SOUTH ASIA,42.4,False
18,Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,0.013680416148341618,0.027369644837949448,0.0023482868624900956,0.005427211655943344,0.15925702972633912,0.7919174107689364,988838315,C,SOUTH ASIA,42.4,False
19,Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,0.011136786057693792,0.02098173309065742,0.0023271006469762615,0.004812237279538521,0.27634268552283836,0.6843994574022956,949986748,C,SOUTH ASIA,42.4,False
20,Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,0.007302606159654671,0.010760450936070465,0.0014514518858496632,0.0033846393148918223,0.03652258621329994,0.9405782654902333,1158302291,C,SOUTH ASIA,42.4,False
21,Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,0.021906432038084272,0.049261259162947074,0.003540100416537218,0.009123043419378927,0.31569577940292326,0.6004733855601292,1185105938,C,SOUTH ASIA,42.4,False
